cccd,election_id
258372255784,ELC2025
668689406673,ELC2025
308869115072,ELC2025
449908037019,ELC2025
140174457453,ELC2025
979216500103,ELC2025
122013383118,ELC2025
352860317367,ELC2025
757767880317,ELC2025
542938177041,ELC2025
402179347239,ELC2025
985913471908,ELC2025
190320225829,ELC2025
349380197079,ELC2025
254269555957,ELC2025
242391713091,ELC2025
101917828217,ELC2025
845052424171,ELC2025
616133392599,ELC2025
419575554987,ELC2025
292255649307,ELC2025
721623362291,ELC2025
275135910024,ELC2025
925984372463,ELC2025
722768838214,ELC2025
374046580980,ELC2025
833878036880,ELC2025
802822269824,ELC2025
454135870183,ELC2025
481149372131,ELC2025
409384084324,ELC2025
524977003099,ELC2025
554990442743,ELC2025
814501870525,ELC2025
548218228975,ELC2025
183706566081,ELC2025
227761655293,ELC2025
305546542554,ELC2025
539257317099,ELC2025
829071517379,ELC2025
519592497134,ELC2025
404897579251,ELC2025
135422016485,ELC2025
225919263493,ELC2025
924719438095,ELC2025
438231297488,ELC2025
900058479437,ELC2025
379489110522,ELC2025
631304138157,ELC2025
747444566715,ELC2025
627926623079,ELC2025
839034900883,ELC2025
543457537812,ELC2025
491593329161,ELC2025
852078395649,ELC2025
618973721498,ELC2025
499388815380,ELC2025
808794123109,ELC2025
542534287073,ELC2025
392841893109,ELC2025
991376740167,ELC2025
702008541511,ELC2025
555075679347,ELC2025
516142353306,ELC2025
188289577592,ELC2025
144149306679,ELC2025
218592115922,ELC2025
686916946466,ELC2025
695704614076,ELC2025
939751776777,ELC2025
135641700003,ELC2025
837724222294,ELC2025
125831407026,ELC2025
791116599142,ELC2025
800655913946,ELC2025
593895691306,ELC2025
215002478996,ELC2025
515702980483,ELC2025
345984014309,ELC2025
241132462870,ELC2025
557162838203,ELC2025
791924533057,ELC2025
439708024058,ELC2025
982834153161,ELC2025
158181921014,ELC2025
642062640521,ELC2025
634753768545,ELC2025
474280593097,ELC2025
516588212219,ELC2025
504312774593,ELC2025
735256504425,ELC2025
191154284940,ELC2025
222679137170,ELC2025
384836028985,ELC2025
203645338742,ELC2025
193197440205,ELC2025
104851055882,ELC2025
339243617997,ELC2025
373635492504,ELC2025
664417960181,ELC2025
106693190468,ELC2025
194888456083,ELC2025
340619921055,ELC2025
696353728678,ELC2025
493312330661,ELC2025
719750306314,ELC2025
485763920460,ELC2025
110882538336,ELC2025
745380602493,ELC2025
135184973228,ELC2025
171247666052,ELC2025
270356568663,ELC2025
169552270129,ELC2025
645114485035,ELC2025
173704250231,ELC2025
298025358018,ELC2025
550745547352,ELC2025
339335536177,ELC2025
673083643678,ELC2025
494563465949,ELC2025
338927538724,ELC2025
100188936270,ELC2025
807168791781,ELC2025
684122861928,ELC2025
425476861641,ELC2025
216805646697,ELC2025
271239611451,ELC2025
338031962877,ELC2025
339725216331,ELC2025
560787901011,ELC2025
293312785593,ELC2025
940191488027,ELC2025
695129566101,ELC2025
777757655062,ELC2025
386284091312,ELC2025
100041586275,ELC2025
257827913037,ELC2025
838475918129,ELC2025
125972025298,ELC2025
539666151347,ELC2025
640805853405,ELC2025
640956091654,ELC2025
266288641669,ELC2025
537599363908,ELC2025
780041258877,ELC2025
369397346777,ELC2025
399709982513,ELC2025
202747050650,ELC2025
384082382892,ELC2025
141971730861,ELC2025
301432921726,ELC2025
892853949641,ELC2025
960477855979,ELC2025
726659880336,ELC2025
436122253538,ELC2025
423474775159,ELC2025
764953102979,ELC2025
562813422120,ELC2025
288006912180,ELC2025
354143105167,ELC2025
988453114975,ELC2025
803508468763,ELC2025
487958339490,ELC2025
663188281067,ELC2025
824797869206,ELC2025
564244598988,ELC2025
439526351551,ELC2025
931413897865,ELC2025
181450999767,ELC2025
742250698288,ELC2025
721202895975,ELC2025
817193973891,ELC2025
802286374282,ELC2025
256426618773,ELC2025
449702812213,ELC2025
145128703523,ELC2025
951404646092,ELC2025
656154059757,ELC2025
458834799353,ELC2025
214881977969,ELC2025
